group;name;otype;dclass;dim
/weekly/links/mcAll/structure;mcYear;H5I_DATASET;STRING;1
/weekly/links/mcAll/structure;reCalcVar;H5I_DATASET;STRING;300
/weekly/links/mcAll/structure;variable;H5I_DATASET;STRING;28
/weekly/links;mcInd;H5I_GROUP;;
/weekly/links/mcInd;data;H5I_DATASET;FLOAT;53 x 10 x 45 x 29
/weekly/links/mcInd;structure;H5I_GROUP;;
/weekly/links/mcInd/structure;link;H5I_DATASET;STRING;45
/weekly/links/mcInd/structure;mcYear;H5I_DATASET;FLOAT;29
/weekly/links/mcInd/structure;reCalcVar;H5I_DATASET;STRING;300
/weekly/links/mcInd/structure;variable;H5I_DATASET;STRING;10
/weekly;time;H5I_DATASET;COMPOUND;53
